Title,Type,genres,releaseYear,Imbid,imbdAverageRating,imbdNumVotes,availableCountries
Juno,movie,"Comedy, Drama",2007,tt0467406,7.4,556015,US
Speed Racer,movie,"Action, Adventure, Comedy",2008,tt0811080,6.1,79585,JP
Shooter,movie,"Action, Drama, Thriller",2007,tt0822854,7.1,361662,JP
Idiocracy,movie,"Adventure, Comedy, Sci-Fi",2006,tt0387808,6.5,191448,US
Ghost Train,movie,Horror,2006,tt0819839,4.9,923,JP
Rambo,movie,"Action, Adventure, Thriller",2008,tt0462499,7,247820,JP
"10,000 BC",movie,"Action, Adventure, Drama",2008,tt0443649,5.1,136533,JP
Before the Devil Knows You're Dead,movie,"Crime, Drama, Thriller",2007,tt0292963,7.3,113652,US
The Match Factory Girl,movie,"Comedy, Crime, Drama",1990,tt0098532,7.5,12226,JP
Robin Hood: Men in Tights,movie,"Adventure, Comedy, Musical",1993,tt0107977,6.7,139430,US
Behind Enemy Lines,movie,"Action, Drama, Thriller",2001,tt0159273,6.4,114603,US
Band of Outsiders,movie,"Comedy, Crime, Drama",1964,tt0057869,7.6,27532,JP
Alien³,movie,"Action, Horror, Sci-Fi",1992,tt0103644,6.4,333479,US
Alien Resurrection,movie,"Action, Horror, Sci-Fi",1997,tt0118583,6.2,275708,US
Napoleon Dynamite,movie,Comedy,2004,tt0374900,7,242789,US
Æon Flux,movie,"Action, Adventure, Sci-Fi",2005,tt0402022,5.4,133955,JP
Drifting Clouds,movie,"Comedy, Drama",1996,tt0116752,7.6,9472,JP
Kika,movie,Comedy,1993,tt0107315,6.5,15286,JP
REC,movie,"Horror, Mystery, Thriller",2007,tt1038988,7.4,202530,JP
Cast Away,movie,"Adventure, Drama, Romance",2000,tt0162222,7.8,651218,JP
Transformers: Revenge of the Fallen,movie,"Action, Adventure, Sci-Fi",2009,tt1055369,6,434590,JP
The Conformist,movie,Drama,1970,tt0065571,7.9,34533,JP
Swallowtail Butterfly,movie,"Crime, Drama",1996,tt0117797,7.5,4541,JP
The Happening,movie,"Adventure, Drama, Sci-Fi",2008,tt0949731,5,220044,US
Deep Impact,movie,"Action, Drama, Sci-Fi",1998,tt0120647,6.2,194025,JP
K-19: The Widowmaker,movie,"Drama, History, Thriller",2002,tt0267626,6.7,68536,"JP, US"
Cannibals in the Streets,movie,"Drama, Fantasy, Horror",1980,tt0080379,5.5,4444,JP
The League of Extraordinary Gentlemen,movie,"Action, Adventure, Fantasy",2003,tt0311429,5.8,186099,US
The Final Countdown,movie,"Action, Adventure, Sci-Fi",1980,tt0080736,6.7,27819,JP
Hellraiser: Bloodline,movie,"Horror, Sci-Fi",1996,tt0116514,5.1,25244,JP
Mad Max 2: The Road Warrior,movie,"Action, Adventure, Sci-Fi",1981,tt0082694,7.6,204210,JP
Evita,movie,"Biography, Drama, History",1996,tt0116250,6.3,38009,US
Conspiracy Theory,movie,"Action, Drama, Mystery",1997,tt0118883,6.7,108968,JP
Under Siege,movie,"Action, Thriller",1992,tt0105690,6.5,97384,JP
"Dude, Where's My Car?",movie,"Comedy, Mystery, Sci-Fi",2000,tt0242423,5.5,147598,US
Red Planet,movie,"Action, Sci-Fi, Thriller",2000,tt0199753,5.7,60447,JP
